,n_clouds,LCL_srf,z_cloudbase,dLCL_decoupling,LCL_CB,z_inv_base,z_inv_top,sfc_inversion,top_inversion,qT_BL,qT_jump,qT_3km,thetaL_BL,thetaL_jump,thetaL_3km,wind_now,instant_u,instant_v,wind_mean_16h,wind_mean24h,wind_seabreeze_time,dq_decoupling,dtheta_decoupling,wellmixed_dtv,decoupled_dtv,wellmixed_dLCL,decoupled_dLCL,SST_instant,fog,onecloud,twoplusclouds,cloudnfog,precipitable_water,Tsrf,Tdew,DZ,decoupled_jones,Ocean_lcc,Zone1_lcc,Zone2_lcc,Zone3_lcc
2015-09-15 12:00:00,1.0,493.014439522612,610.0,116.985560477388,507.97119347502604,2156.0,2329.0,0.0,0.0,13.025023634453799,-7.9832114073795495,5.0418122270742405,300.26281512605,6.80424537506997,311.368615906268,2.57222816692732,-1.97044109370879,1.6533963949876,4.22740107434142,3.64788721855147,2015-09-15 14:55,3.514108249959,-5.971987042807941,0.0,1.0,1.0,0.0,297.95,0.0,1.0,0.0,0.0,39.2916785714286,294.75,292.85,5733.0,1.0,0.0,0.9584664536741214,2.8871391076115485,2.556390977443609
2015-09-16 00:00:00,1.0,238.803725021364,305.0,66.1962749786358,282.724828128162,2547.0,2693.0,0.0,0.0,13.1359688796681,-11.063308060954599,2.07266081871345,301.575871369295,8.75110394212339,311.544169627198,5.14445633385464,5.066300482612809,-0.893325467460953,4.22740107434142,3.64788721855147,2015-09-15 14:55,4.243629455442149,-8.653286119714549,1.0,0.0,1.0,0.0,297.32,0.0,1.0,0.0,0.0,37.9092193877551,296.35,295.55,5739.0,1.0,10.0,54.95207667731629,72.30971128608924,79.24812030075188
2015-09-16 12:00:00,3.0,137.0,1829.0,1692.0,1539.82041160103,1957.0,2083.0,0.0,0.0,10.973140109890098,-8.3080492007992,2.6650909090909103,296.695723491506,7.817764992604849,312.751499430854,0.0,-0.0,-0.0,2.44361675858095,2.03634729881746,2015-09-16 14:55,1.9719640934553901,-5.692674545702911,0.0,1.0,0.0,1.0,296.82,1.0,0.0,1.0,0.0,26.108397959183698,292.55,292.55,5732.0,1.0,0.0,34.185303514377,71.39107611548556,61.8045112781955
2015-09-17 00:00:00,,894.8486102795199,,,,2399.0,2598.0,0.0,0.0,7.439255083996461,-7.19925508399646,0.24,300.207780725022,8.83315191746476,314.957512953368,1.5433369001563897,,,2.44361675858095,2.03634729881746,2015-09-16 14:55,7.62270422439606,-9.32848261895964,0.0,0.0,0.0,0.0,296.65,0.0,0.0,0.0,0.0,20.0979183673469,296.55,290.55,5747.0,1.0,20.0,0.0,0.13123359580052493,12.63157894736842
2015-09-17 12:00:00,2.0,137.000000000008,787.0,649.999999999992,748.9019820903709,815.0,1039.0,0.0,0.0,11.545597345132698,-8.05736599784343,3.48823134728932,293.22418879056,3.88883758603015,313.81072517580503,0.0,-0.0,-0.0,3.25815567810794,2.5293576974785297,2015-09-17 14:55,1.6200243902438998,-2.12048780487811,0.0,1.0,0.0,1.0,296.92,1.0,0.0,0.0,1.0,21.3933520408163,290.35,290.35,5749.0,1.0,0.0,7.667731629392973,18.241469816272964,21.052631578947366
2015-09-18 00:00:00,,1021.2396587365599,,,,594.0,797.0,0.0,0.0,12.5007658643326,-9.46928590544257,3.0314799588900296,297.115098468271,2.23929426734492,315.744423350542,5.14445633385464,3.94088218741758,-3.3067927899752,3.25815567810794,2.5293576974785297,2015-09-17 14:55,,,0.0,0.0,0.0,0.0,296.88,0.0,0.0,0.0,0.0,18.390316326530602,298.15,291.15,5768.0,0.0,0.0,0.0,0.0,0.0
2015-09-18 12:00:00,1.0,137.0,137.0,0.0,,1007.0,1230.0,0.0,0.0,11.5736091954023,-9.45819941351202,2.1154097818902797,296.39333333333303,7.95405693003704,316.656517299723,2.05778253354186,-2.0265201930451204,-0.35733018698438207,2.54007531484073,2.2935701155101897,2015-09-18 14:55,2.17328991201845,-5.07430312348737,1.0,0.0,1.0,0.0,296.88,1.0,1.0,0.0,0.0,20.4615051020408,290.15,290.15,5779.0,1.0,0.0,7.507987220447284,2.493438320209974,3.0075187969924815
2015-09-19 00:00:00,,1147.8528296341199,,,,542.0,690.0,0.0,0.0,12.4199259259259,-7.38579782071404,5.03412810521188,299.12901234567903,5.10658254840394,315.19735916866904,3.0866738003127794,2.67313792426673,-1.5433369001563897,2.54007531484073,2.2935701155101897,2015-09-18 14:55,,,0.0,0.0,0.0,0.0,296.95,0.0,0.0,0.0,0.0,20.9893265306122,299.95,291.95,5795.0,0.0,0.0,0.0,0.0,0.0
2015-09-19 12:00:00,1.0,225.694724327219,137.0,-88.69472432721871,,137.0,243.0,1.0,0.0,,,,,,,1.5433369001563897,-1.18226465622527,-0.99203783699256,1.9205970313057301,1.74464171322027,2015-09-19 14:55,,,1.0,0.0,1.0,0.0,296.95,1.0,1.0,0.0,0.0,26.4290051020408,291.75,291.05,5792.0,0.0,0.0,5.910543130990416,0.13123359580052493,4.511278195488722
2015-09-20 00:00:00,,1150.18856507877,,,,509.0,639.0,0.0,0.0,14.8875940860215,-6.147149641577059,8.74044444444444,301.531182795699,4.3765467979141,314.19218136467003,2.05778253354186,2.05778253354186,3.78008518956505e-16,1.9205970313057301,1.74464171322027,2015-09-19 14:55,,,0.0,0.0,0.0,0.0,296.78,0.0,0.0,0.0,0.0,33.2085765306122,302.35,294.35,5805.0,0.0,0.0,0.0,0.0,0.0
2015-09-20 12:00:00,1.0,225.884455045125,137.0,-88.8844550451255,,137.0,527.0,1.0,0.0,,,,,,,1.5433369001563897,-0.99203783699256,-1.18226465622527,3.7940365462177903,3.12954426976157,2015-09-20 16:55,,,1.0,0.0,1.0,0.0,297.35,1.0,1.0,0.0,0.0,38.1638469387755,293.95,293.25,5806.0,0.0,0.0,0.0,0.0,0.0
2015-09-21 00:00:00,,2025.54232837758,,,,406.0,538.0,0.0,0.0,12.2874349442379,-2.8837569397027703,9.40367800453515,306.582527881041,4.34409364685058,315.12485833386603,7.202238867396491,3.60111943369825,-6.23732182328902,3.7940365462177903,3.12954426976157,2015-09-20 16:55,,,0.0,0.0,0.0,0.0,296.95,0.0,0.0,0.0,0.0,40.8534948979592,306.55,291.55,5829.0,0.0,0.0,0.0,0.0,0.0
2015-09-21 12:00:00,,238.586797592165,,,,137.0,377.0,1.0,0.0,,,,,,,0.0,-0.0,-0.0,3.15097950448596,2.55079293220292,2015-09-21 14:55,,,0.0,0.0,0.0,0.0,297.35,0.0,0.0,0.0,0.0,35.2658673469388,294.15,293.35,5807.0,0.0,0.0,0.3194888178913738,0.2624671916010499,0.0
2015-09-22 00:00:00,,896.0200917168598,,,,1109.0,1265.0,0.0,0.0,9.317412551440329,-0.669750992479635,8.64766155896069,299.716615226337,4.680772272090961,312.977749877201,3.0866738003127794,2.36452931245055,1.98407567398512,3.15097950448596,2.55079293220292,2015-09-21 14:55,7.12892298561653,-3.02097385141747,0.0,0.0,0.0,0.0,296.95,0.0,0.0,0.0,0.0,40.6226632653061,298.15,292.15,5741.0,1.0,30.0,30.511182108626198,62.59842519685039,75.33834586466166
2015-09-22 12:00:00,,893.238699527265,,,,521.0,771.0,0.0,0.0,11.8551953125,-4.663960867502491,7.19123444499751,296.49869791666697,5.56431328227603,311.649638012144,0.0,-0.0,-0.0,2.2696130884652796,1.89315993085851,2015-09-22 15:55,1.025,-1.55000000000001,0.0,0.0,0.0,0.0,296.38,0.0,0.0,0.0,0.0,36.738622448979605,294.35,288.35,5735.0,1.0,0.0,6.7092651757188495,8.005249343832022,8.421052631578947
2015-09-23 00:00:00,,1396.4646514485598,,,,610.0,784.0,0.0,0.0,10.1380338266385,-5.32864127942051,4.8093925472179695,298.730549682875,2.84287020894448,315.071574812963,3.60111943369825,2.7586175311922996,-2.31475495298264,2.2696130884652796,1.89315993085851,2015-09-22 15:55,,,0.0,0.0,0.0,0.0,296.42,0.0,0.0,0.0,0.0,27.3949132653061,299.55,289.55,5745.0,0.0,0.0,0.1597444089456869,0.0,0.0
2015-09-23 12:00:00,1.0,137.0,137.0,0.0,,320.0,680.0,0.0,0.0,13.889262295082,-7.1194036045497,6.76985869053227,293.162295081967,7.632693917197059,314.685562303108,2.57222816692732,0.446662733730478,-2.5331502413064,2.92590953987983,2.47329631435319,2015-09-23 14:55,,,1.0,0.0,1.0,0.0,296.55,1.0,1.0,0.0,0.0,31.883035714285697,291.75,291.75,5752.0,0.0,50.0,23.32268370607029,45.80052493438321,28.421052631578945
2015-09-24 00:00:00,,1148.24200744097,,,,440.0,531.0,0.0,0.0,12.267920792079199,-5.5645916150218495,6.70332917705736,298.784158415842,6.28514509453328,315.391646480182,4.115565067083709,3.5641838990222996,-2.05778253354186,2.92590953987983,2.47329631435319,2015-09-23 14:55,,,0.0,0.0,0.0,0.0,296.75,0.0,0.0,0.0,0.0,26.599785714285698,300.35,292.35,5789.0,0.0,0.0,0.0,0.0,0.0
