Date,Cloudy test,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,RMSE,CRMSE,BIAS,Rs,pval
6/24/14 12:00,2,5/18/14 12:00,6/20/15 12:00,6/3/14 12:00,6/8/16 12:00,6/7/17 12:00,6/7/16 12:00,6/4/15 12:00,5/29/17 12:00,7/11/16 12:00,5/24/14 12:00,6/15/14 12:00,6/22/15 12:00,5/12/15 12:00,6/17/14 12:00,8/29/16 12:00,79.68690753,65.32426678,-45.63708361,0.996297153,1.13E-50
6/25/14 12:00,2,6/26/14 12:00,6/23/14 12:00,7/12/16 12:00,6/29/14 12:00,7/6/16 12:00,7/16/15 12:00,6/3/17 12:00,8/14/17 12:00,6/12/14 12:00,8/20/17 12:00,8/13/17 12:00,5/29/14 12:00,8/19/17 12:00,6/24/16 12:00,6/22/14 12:00,38.09129697,37.96137397,3.143404366,0.999276767,5.65E-67
6/26/14 12:00,2,6/25/14 12:00,8/19/17 12:00,7/16/15 12:00,6/29/14 12:00,8/20/17 12:00,7/1/17 12:00,8/14/17 12:00,8/25/16 12:00,6/23/14 12:00,8/13/17 12:00,8/24/17 12:00,7/9/14 12:00,5/27/14 12:00,6/12/14 12:00,9/3/16 12:00,43.84870038,42.63532271,-10.24391443,0.994618991,5.99E-47
6/27/14 12:00,2,9/20/17 12:00,8/8/15 12:00,5/20/16 12:00,9/19/17 12:00,6/26/14 12:00,7/6/16 12:00,6/25/14 12:00,5/19/14 12:00,7/12/16 12:00,7/8/15 12:00,8/10/15 12:00,9/4/16 12:00,7/27/15 12:00,8/15/17 12:00,5/3/15 12:00,60.37437556,59.84568788,-7.972381528,0.984262902,2.81E-36
6/28/14 12:00,1,5/26/14 12:00,9/3/15 12:00,6/1/17 12:00,7/12/17 12:00,9/9/17 12:00,7/22/15 12:00,5/23/14 12:00,7/9/16 12:00,9/5/14 12:00,8/7/14 12:00,7/23/15 12:00,7/9/15 12:00,5/10/17 12:00,7/29/17 12:00,5/5/14 12:00,69.85387982,63.45793222,-29.2002631,0.997685721,2.31E-55
6/29/14 12:00,2,5/27/14 12:00,6/23/14 12:00,7/1/17 12:00,8/19/17 12:00,8/13/17 12:00,8/20/17 12:00,8/24/17 12:00,8/14/17 12:00,6/12/14 12:00,7/2/14 12:00,6/10/14 12:00,7/3/14 12:00,8/25/16 12:00,6/26/14 12:00,6/22/14 12:00,46.92977114,40.67930502,-23.40080261,0.99884286,2.78E-62
6/30/14 12:00,0,5/1/14 12:00,9/29/16 12:00,9/28/16 12:00,9/27/16 12:00,9/26/16 12:00,9/25/16 12:00,9/24/16 12:00,9/15/16 12:00,9/6/16 12:00,8/31/16 12:00,7/31/16 12:00,7/30/16 12:00,7/29/16 12:00,9/30/16 12:00,7/28/16 12:00,110.1667289,104.3488011,35.32755082,0.985499375,4.34E-37
7/1/14 12:00,2,9/11/16 12:00,7/3/15 12:00,5/4/17 12:00,7/13/16 12:00,6/23/16 12:00,7/3/14 12:00,6/6/14 12:00,6/29/14 12:00,6/8/14 12:00,7/17/15 12:00,8/19/17 12:00,6/6/16 12:00,8/1/15 12:00,5/27/14 12:00,6/23/14 12:00,54.94351052,51.752771,18.45101736,0.997570007,7.07E-55
7/2/14 12:00,2,8/13/17 12:00,8/1/15 12:00,7/3/14 12:00,8/26/17 12:00,9/2/16 12:00,7/9/14 12:00,7/16/16 12:00,6/29/14 12:00,6/10/14 12:00,8/25/16 12:00,7/10/14 12:00,7/3/16 12:00,8/12/17 12:00,5/27/14 12:00,7/1/16 12:00,49.45885762,48.28030327,10.73270298,0.998032863,5.51E-57
7/3/14 12:00,2,8/13/17 12:00,7/2/14 12:00,8/1/15 12:00,8/26/17 12:00,7/14/16 12:00,7/9/14 12:00,7/3/16 12:00,6/29/14 12:00,7/1/16 12:00,5/27/14 12:00,7/16/16 12:00,9/2/16 12:00,8/12/17 12:00,7/18/16 12:00,6/10/14 12:00,41.83028719,37.99894451,-17.48865755,0.998611433,1.84E-60
7/4/14 12:00,1,7/6/17 12:00,8/17/15 12:00,7/16/17 12:00,6/18/17 12:00,7/17/17 12:00,6/20/14 12:00,7/19/16 12:00,7/9/16 12:00,7/12/17 12:00,7/29/17 12:00,5/3/17 12:00,8/13/16 12:00,8/2/16 12:00,9/5/14 12:00,8/10/16 12:00,22.25011833,18.17655291,-12.83279742,0.999537144,1.97E-71
7/5/14 12:00,0,9/26/14 12:00,7/29/14 12:00,6/28/15 12:00,8/13/15 12:00,6/9/15 12:00,8/27/14 12:00,8/14/15 12:00,8/2/17 12:00,9/21/15 12:00,7/7/17 12:00,9/22/15 12:00,9/11/17 12:00,8/28/15 12:00,7/24/17 12:00,7/9/17 12:00,81.63521494,62.8562657,-52.09028873,0.995371442,1.89E-48
7/6/14 12:00,0,7/18/15 12:00,9/25/14 12:00,8/27/15 12:00,8/15/15 12:00,8/17/14 12:00,7/9/17 12:00,7/26/16 12:00,9/14/14 12:00,9/7/15 12:00,9/11/14 12:00,9/12/14 12:00,8/16/14 12:00,9/7/14 12:00,9/10/14 12:00,9/8/15 12:00,42.99092383,32.63418488,-27.98623785,0.999190002,7.64E-66
