Date,Cloudy test,Top1,Top2,Top3,Top4,Top5,RMSE,CRMSE,BIAS,Rs,pval
2014-06-05 12:00:00,2,2017-07-03 12:00:00,2017-06-17 12:00:00,2014-06-02 12:00:00,2017-06-28 12:00:00,2014-06-06 12:00:00,28.4589296298099,23.6977236466118,-15.7584443916044,0.999421430224485,3.34E-69
2014-06-06 12:00:00,2,2014-06-14 12:00:00,2016-07-13 12:00:00,2014-06-23 12:00:00,2016-06-23 12:00:00,2014-06-22 12:00:00,55.6750400251401,52.4047943967629,18.8002022870488,0.998727146493867,2.49E-61
2014-06-07 12:00:00,2,2014-06-12 12:00:00,2014-06-23 12:00:00,2014-06-11 12:00:00,2014-05-25 12:00:00,2014-05-29 12:00:00,18.8044976665359,18.4904162182594,3.42251962248338,0.999537144179588,1.97E-71
2014-06-08 12:00:00,2,2016-06-01 12:00:00,2014-06-23 12:00:00,2015-07-07 12:00:00,2014-06-29 12:00:00,2014-06-12 12:00:00,96.6984682126001,85.3057460536442,-45.535957713596,0.990945121483892,9.09E-42
2014-06-09 12:00:00,2,2016-06-03 12:00:00,2017-06-22 12:00:00,2015-06-17 12:00:00,2017-06-21 12:00:00,2015-06-08 12:00:00,122.872320549413,114.50197222929,44.5747183143155,0.984378616061097,2.37E-36
2014-06-10 12:00:00,2,2014-05-27 12:00:00,2014-06-29 12:00:00,2016-09-02 12:00:00,2014-07-02 12:00:00,2017-08-26 12:00:00,126.303640986223,117.123050027104,47.2736806132653,0.989470030085628,2.88E-40
2014-06-11 12:00:00,2,2014-06-07 12:00:00,2014-05-25 12:00:00,2016-08-26 12:00:00,2016-09-02 12:00:00,2014-05-29 12:00:00,59.3498096158862,52.1310033367832,-28.3682638267172,0.998727146493867,2.49E-61
2014-06-12 12:00:00,2,2014-06-23 12:00:00,2014-06-22 12:00:00,2014-06-07 12:00:00,2017-08-14 12:00:00,2014-06-14 12:00:00,20.875673677524,19.2968995630611,-7.96388214023784,0.999537144179588,1.97E-71
2014-06-13 12:00:00,2,2016-09-09 12:00:00,2014-06-08 12:00:00,2016-09-11 12:00:00,2015-07-07 12:00:00,2017-08-21 12:00:00,69.3026411787275,66.1810470072494,-20.5651426295005,0.99537144179588,1.89E-48
2014-06-14 12:00:00,2,2014-06-16 12:00:00,2017-06-29 12:00:00,2014-06-22 12:00:00,2014-06-12 12:00:00,2014-06-06 12:00:00,30.1254201056677,27.3417513985565,-12.6479076136134,0.999421430224485,3.34E-69
2014-06-15 12:00:00,2,2014-06-17 12:00:00,2014-06-03 12:00:00,2015-05-12 12:00:00,2014-05-10 12:00:00,2014-06-24 12:00:00,41.0036094677261,40.1238553529534,8.44820815303871,0.997541007736543,9.29E-55
2014-06-16 12:00:00,2,2014-06-14 12:00:00,2017-06-29 12:00:00,2015-05-03 12:00:00,2017-08-20 12:00:00,2014-06-12 12:00:00,42.440231234593,37.1377720111975,-20.5416434904814,0.999190002314279,7.64E-66
2014-06-17 12:00:00,2,2014-06-15 12:00:00,2014-06-03 12:00:00,2015-05-12 12:00:00,2016-06-16 12:00:00,2016-09-16 12:00:00,15.8140506895749,14.6439359747304,-5.96986920965975,0.999768572089794,2.36E-78
2014-06-18 12:00:00,0,2017-08-17 12:00:00,2016-06-02 12:00:00,2017-09-24 12:00:00,2016-09-06 12:00:00,2015-05-02 12:00:00,12.4309257546282,9.65850698305559,-7.82567300462688,0.999768572089794,2.36E-78
2014-06-19 12:00:00,0,2017-06-14 12:00:00,2016-09-24 12:00:00,2017-06-26 12:00:00,2017-05-21 12:00:00,2016-06-02 12:00:00,9.84796697411968,8.7374428217721,-4.54307676136068,0.999652858134691,2.64E-74
